2019.01.01,2.7,-4.6,6.1,0.9
kedd,,,,
2019.01.02,3.1,-0.7,9.5,0.9
szerda,,,,
2019.01.03,0.3,-3.3,7.9,0.1
csütörtök,,,,
2019.01.04,-1,-6.3,5.4,0.2
péntek,,,,
2019.01.05,2.2,-3.2,5.8,4
szombat,,,,
2019.01.06,0.4,-6.5,7.3,0
vasárnap,,,,
2019.01.07,-5.2,-14.9,1.9,0
hétfõ,,,,
2019.01.08,0,-10.4,4.4,4.7
kedd,,,,
2019.01.09,1.8,-1.2,4.6,1.9
szerda,,,,
2019.01.10,0.2,-8.6,3.2,0.3
csütörtök,,,,
2019.01.11,-6.5,-9.8,5.6,0.1
péntek,,,,
2019.01.12,3.3,-4.3,6,1.2
szombat,,,,
2019.01.13,3.3,0,5.9,1.4
vasárnap,,,,
2019.01.14,3.1,-1.4,10.1,4.7
hétfõ,,,,
2019.01.15,1.2,-3.2,8.2,0.7
kedd,,,,
2019.01.16,5.7,-1.3,10,0.2
szerda,,,,
2019.01.17,10,-1.1,6,3.3
csütörtök,,,,
2019.01.18,5.6,-3.2,8.1,7.2
péntek,,,,
2019.01.19,0.6,-4.7,3.6,0
szombat,,,,
2019.01.20,0,-2.1,3.7,2.7
vasárnap,,,,
2019.01.21,0,-7,1.8,0.1
hétfõ,,,,
2019.01.22,-2.4,-9.9,3,0
kedd,,,,
2019.01.23,-1.4,-7.1,4.7,2.7
szerda,,,,
2019.01.24,1.5,-3.1,3.6,1.2
csütörtök,,,,
2019.01.25,-3.3,-6.3,6.7,2.5
péntek,,,,
2019.01.26,-2.7,-6.5,7.1,0
szombat,,,,
2019.01.27,2.7,-2.1,5.2,0.7
vasárnap,,,,
2019.01.28,3.6,-1.9,4.5,5.7
hétfõ,,,,
2019.01.29,3.3,-3.6,4.8,0.1
kedd,,,,
2019.01.30,-1.3,-8.5,2.6,0.1
szerda,,,,
2019.01.31,0.1,-3.4,2.4,0.2
csütörtök,,,,
2019.02.01,2.3,-2,4.7,1.8
péntek,,,,
2019.02.02,9.5,5.3,6.7,2.5
szombat,,,,
2019.02.03,11,3.5,7.6,2
vasárnap,,,,
2019.02.04,4.4,0.9,8.5,0.3
hétfõ,,,,
2019.02.05,4.7,-1.4,3,0.2
kedd,,,,
2019.02.06,3.3,-4.8,3,0
szerda,,,,
2019.02.07,2.2,-5.5,2.5,0
csütörtök,,,,
2019.02.08,3.8,-4.5,2,0.3
péntek,,,,
2019.02.09,3.8,-3.7,2.7,0.1
szombat,,,,
2019.02.10,6.3,-4.5,7.7,0.8
vasárnap,,,,
2019.02.11,6,2.6,10.5,4.3
hétfõ,,,,
2019.02.12,3.2,-0.7,9.6,0.1
kedd,,,,
2019.02.13,3.6,-1.7,5.9,0.1
szerda,,,,
2019.02.14,7.1,-0.3,6.5,0
csütörtök,,,,
2019.02.15,7.1,-2.6,1.9,0
péntek,,,,
2019.02.16,8.4,-2.3,2.3,0
szombat,,,,
2019.02.17,9.7,-2.1,1.9,0
vasárnap,,,,
2019.02.18,7.3,-2.3,2.2,0
hétfõ,,,,
2019.02.19,7.2,-1.3,2.3,0.2
kedd,,,,
2019.02.20,8.3,0.8,4.9,0
szerda,,,,
2019.02.21,8.6,-0.5,4.2,0.5
csütörtök,,,,
2019.02.22,10.6,-2.7,7.6,1.6
péntek,,,,
2019.02.23,-0.8,-6.4,6.2,0
szombat,,,,
2019.02.24,1.5,-6.6,3.3,0
vasárnap,,,,
2019.02.25,6.5,-4,3,0
hétfõ,,,,
2019.02.26,10.5,-3.9,6.9,0
kedd,,,,
2019.02.27,9.5,-0.1,5,0
szerda,,,,
2019.02.28,12.9,0.9,8.4,0
csütörtök,,,,
2019.03.01,11.6,4.7,5.5,0.1
péntek,,,,
2019.03.02,6.9,2.5,4.5,0.4
szombat,,,,
2019.03.03,11.7,3.1,5.7,0.5
vasárnap,,,,
2019.03.04,14.8,4.1,9.8,0
hétfõ,,,,
2019.03.05,11.9,5,6.9,1.5
kedd,,,,
2019.03.06,13.6,3.5,4.7,0.5
szerda,,,,
2019.03.07,17.2,6.5,8.8,0
csütörtök,,,,
2019.03.08,14.8,7.8,4.7,1.7
péntek,,,,
2019.03.09,12.8,5.8,5.8,0.2
szombat,,,,
2019.03.10,13.8,6.8,9.1,0.2
vasárnap,,,,
2019.03.11,9.3,3.8,14,0.3
hétfõ,,,,
2019.03.12,7.9,0,5.8,0
kedd,,,,
2019.03.13,6,-1.6,5.7,2.1
szerda,,,,
2019.03.14,9.5,-0.9,3.8,0
csütörtök,,,,
2019.03.15,10.1,4.5,8.2,2.2
péntek,,,,
2019.03.16,10,7.7,7.2,0.9
szombat,,,,
2019.03.17,17.6,3.6,6.5,0
vasárnap,,,,
2019.03.18,11.5,6.2,8.7,1.5
hétfõ,,,,
2019.03.19,9.9,5.2,5.5,0.4
kedd,,,,
2019.03.20,10,2.5,2.1,0
szerda,,,,
2019.03.21,11.1,-0.6,2,0
csütörtök,,,,
2019.03.22,14,0.7,2,0
péntek,,,,
2019.03.23,15.6,2.5,2.8,0
szombat,,,,
2019.03.24,17.7,5.5,4.8,0
vasárnap,,,,
2019.03.25,12.1,7.5,5.5,0.2
hétfõ,,,,
2019.03.26,11,5.2,5.9,0
kedd,,,,
2019.03.27,9,1.6,5.6,0
szerda,,,,
2019.03.28,13.2,-1.1,3.6,0
csütörtök,,,,
2019.03.29,13.8,2.3,2.2,0
péntek,,,,
2019.03.30,15.7,2.1,2,0
szombat,,,,
2019.03.31,17.7,3.1,2.5,0
vasárnap,,,,
2019.04.01,13.9,6.1,5.9,0
hétfõ,,,,
2019.04.02,15.2,5,6.6,0
kedd,,,,
2019.04.03,15.5,8.2,6.6,0
szerda,,,,
2019.04.04,17,9,7,0
csütörtök,,,,
2019.04.05,15,6.6,7.7,3
péntek,,,,
2019.04.06,15.5,5.9,3.5,3
szombat,,,,
2019.04.07,17.6,6.7,4,0
vasárnap,,,,
2019.04.08,19.7,8.6,3.3,0
hétfõ,,,,
2019.04.09,19,12,4.5,0.4
kedd,,,,
2019.04.10,17.5,10.9,5.4,0
szerda,,,,
2019.04.11,14.2,10,6.5,6.4
csütörtök,,,,
2019.04.12,10.5,7.7,5.4,13.4
péntek,,,,
2019.04.13,10.1,7.7,5.4,0.2
szombat,,,,
2019.04.14,14.4,8.4,6.4,1.3
vasárnap,,,,
2019.04.15,12.4,4.6,6.4,0
hétfõ,,,,
2019.04.16,12.8,2.1,3.9,0
kedd,,,,
2019.04.17,15.2,3.4,3,0
szerda,,,,
2019.04.18,18.4,9.2,4.1,0.1
csütörtök,,,,
2019.04.19,20.7,11.3,4,0
péntek,,,,
2019.04.20,19.6,11,3.2,0
szombat,,,,
2019.04.21,20.3,11.8,3.6,0
vasárnap,,,,
2019.04.22,19.1,12,7.1,0.3
hétfõ,,,,
2019.04.23,11.8,9.9,7.4,4.8
kedd,,,,
2019.04.24,21.4,10.2,6,2.1
szerda,,,,
2019.04.25,23.8,12.7,6.3,0
csütörtök,,,,
2019.04.26,25.9,15.8,6.1,2.8
péntek,,,,
2019.04.27,17.7,12.2,6.7,4.3
szombat,,,,
2019.04.28,15.8,11.7,8.2,0.4
vasárnap,,,,
2019.04.29,15.9,10.3,5.2,0.9
hétfõ,,,,
